"id","url","name","seasonId","number","airstamp","runtime","image_medium","image_original","summary"
"663","http://www.tvmaze.com/episodes/40663/friends-1x18-the-one-with-all-the-poker","The One With All the Poker","1","18","1995-03-02T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59120.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59120.jpg","The guys let the ladies in on a sacred ritual -- their poker game. Meanwhile, Rachel has an interview with Saks."
"664","http://www.tvmaze.com/episodes/40664/friends-1x19-the-one-where-the-monkey-gets-away","The One Where the Monkey Gets Away","1","19","1995-03-09T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59122.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59122.jpg","Ross entrusts Rachel with his pet monkey for a day; Barry has a surprise for Rachel."
"665","http://www.tvmaze.com/episodes/40665/friends-1x20-the-one-with-the-evil-orthodontist","The One With the Evil Orthodontist","1","20","1995-04-06T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59123.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59123.jpg","Chandler's not a very smooth operator when it comes to calling a woman 
he went out with; Rachel gets involved with her ex-fiancé."
"666","http://www.tvmaze.com/episodes/40666/friends-1x21-the-one-with-the-fake-monica","The One With the Fake Monica","1","21","1995-04-27T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59268.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59268.jpg","Monica meets the woman who used her credit-card number; Ross realizes it's time to find a new home for Marcel."
"667","http://www.tvmaze.com/episodes/40667/friends-1x22-the-one-with-the-ick-factor","The One With the Ick Factor","1","22","1995-05-04T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59124.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59124.jpg","Phoebe gets temporary work as Chandler's secretary; Monica's new boyfriend is younger than she thinks."
"668","http://www.tvmaze.com/episodes/40668/friends-1x23-the-one-with-the-birth","The One With the Birth","1","23","1995-05-11T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59125.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59125.jpg","Ross quarrels with Susan in the delivery room as Carol prepares to give birth; Joey befriends a mother-to-be."
"669","http://www.tvmaze.com/episodes/40669/friends-1x24-the-one-where-rachel-finds-out","The One Where Rachel Finds Out","1","24","1995-05-18T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59126.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59126.jpg","Rachel finally realizes how much Ross likes her -- but not before he leaves for China on museum business."
"670","http://www.tvmaze.com/episodes/40670/friends-2x01-the-one-with-rosss-new-girlfriend","The One With Ross's New Girlfriend","2","1","1995-09-21T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59127.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59127.jpg","Rachel meets Ross's female travel companion; Joey unwittingly recommends
 a seamy tailor to Chandler; and Phoebe cuts Monica's hair."
"671","http://www.tvmaze.com/episodes/40671/friends-2x02-the-one-with-the-breast-milk","The One With the Breast Milk","2","2","1995-09-28T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59128.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59128.jpg","Monica goes shopping with Julie behind Rachel's back; Ross isn't exactly gaga over breast milk."
"672","http://www.tvmaze.com/episodes/40672/friends-2x03-the-one-where-heckles-dies","The One Where Heckles Dies","2","3","1995-10-05T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59129.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59129.jpg","The gang disturbs Mr. Heckles for the last time; Phoebe takes issue with Ross on the subject of evolution."
